File name,Euler number,Trabecular thickness (plate model),Trabecular pattern factor,Bone perimeter / area ratio,Number of objects,Average object area-equivalent circle diameter,Average object area
image_0001.tif,38,41.88763980,0.01048920,0.04774678,38,110.84229808,9649.41365132
image_0002.tif,37,42.12749426,0.01078804,0.04747493,37,112.52632450,9944.84797297
image_0003.tif,38,42.56794248,0.01046675,0.04698371,38,111.67650631,9795.20476974
image_0004.tif,40,43.43782099,0.01164751,0.04604283,40,109.33735394,9389.16562500
image_0005.tif,37,43.84462064,0.01143071,0.04561563,37,113.31796725,10085.26773649
image_0006.tif,36,44.13471172,0.01037790,0.04531581,36,116.66819567,10690.42187500
image_0007.tif,38,41.98792752,0.01100509,0.04763274,38,111.23943080,9718.68256579
image_0008.tif,34,41.48379518,0.01149956,0.04821160,34,112.79170904,9991.81158088
image_0009.tif,34,39.99733995,0.01065787,0.05000333,34,109.46189366,9410.56709559
image_0010.tif,36,39.17465841,0.01217520,0.05105341,36,102.99058322,8330.76562500
image_0011.tif,32,38.67097109,0.01280150,0.05171838,32,103.71478509,8448.33691406
image_0012.tif,30,38.62620268,0.01356790,0.05177832,30,101.74213174,8130.01875000
image_0013.tif,30,37.81227984,0.01417242,0.05289287,30,98.62747604,7639.86562500
image_0014.tif,30,37.93984231,0.01296072,0.05271503,30,97.94908424,7535.12812500
image_0015.tif,32,38.07767576,0.01388073,0.05252421,32,93.94709541,6931.96875000
image_0016.tif,25,39.66978558,0.01094649,0.05041620,25,106.50669584,8909.30250000
image_0017.tif,21,40.93205009,0.01015826,0.04886147,21,118.89166037,11101.78125000
image_0018.tif,26,39.87672674,0.01122991,0.05015457,26,106.94466038,8982.72475962
image_0019.tif,28,38.99507607,0.01215096,0.05128853,28,101.94478018,8162.43750000
image_0020.tif,30,39.39112565,0.01349825,0.05077286,30,97.97595191,7539.26250000
image_0021.tif,25,40.42274972,0.01195986,0.04947709,25,107.95975178,9154.05750000
image_0022.tif,26,41.71635601,0.01283327,0.04794283,26,104.97659583,8655.15504808
image_0023.tif,28,40.95469689,0.01397239,0.04883445,28,100.96264816,8005.92187500
image_0024.tif,27,41.60730513,0.01285506,0.04806848,28,102.15357039,8195.90625000
image_0025.tif,26,42.33331468,0.01204991,0.04724412,26,105.63669143,8764.34495192
image_0026.tif,24,40.71673674,0.01061480,0.04911985,24,109.42692049,9404.55468750
image_0027.tif,25,42.38974418,0.01212832,0.04718122,25,105.48363574,8738.96625000
image_0028.tif,23,41.77042352,0.01096094,0.04788077,23,105.15128709,8683.98505435
image_0029.tif,21,41.81705161,0.01276443,0.04782738,21,107.03852598,8998.50000000
